frame_idx,time_sec,rat_a_slot,rat_b_slot,rat_a_track_id,rat_b_track_id,zone,contact_type,investigator_slot,nose_nose_dist_px,nose_nose_dist_bl,nose_tailbase_dist_px,nose_tailbase_dist_bl,centroid_dist_px,centroid_dist_bl,mask_iou,body_length_a_px,body_length_b_px,velocity_a_px,velocity_b_px,orientation_cos,quality_flag,bout_id
0,0.0,0,1,1,2,contact,N2N,,71.5,0.2628,208.4,0.7654,282.9,1.0389,0.0,242.4,302.2,,,-0.9976,,0
1,0.0333,0,1,1,2,contact,N2B,0,82.0,0.3009,197.4,0.7239,274.2,1.0056,0.0,245.9,306.8,3.3,10.0,-0.9914,,1
2,0.0667,0,1,1,2,contact,N2B,0,105.2,0.3863,184.2,0.6762,263.4,0.9668,0.0,242.7,298.0,4.9,13.6,-0.9684,,1
3,0.1,0,1,1,2,contact,N2B,0,123.4,0.4535,160.0,0.588,249.9,0.9187,0.0,239.0,297.8,2.2,8.6,-0.947,,1
4,0.1333,0,1,1,2,contact,N2B,0,127.6,0.4703,150.0,0.553,242.8,0.895,0.0,240.9,288.7,8.1,9.6,-0.9314,,1
5,0.1667,0,1,1,2,contact,N2B,0,149.9,0.5523,121.5,0.4478,225.5,0.831,0.0,237.7,306.0,11.4,5.4,-0.9072,,1
6,0.2,0,1,1,2,contact,N2B,1,157.5,0.5814,119.5,0.4412,223.6,0.8256,0.0,242.3,289.3,8.6,12.9,-0.8638,,1
7,0.2333,0,1,1,2,contact,N2B,1,169.2,0.6256,104.6,0.3868,208.9,0.7723,0.0,244.8,291.3,8.3,7.6,-0.8535,,1
8,0.2667,0,1,1,2,contact,N2B,1,190.6,0.7047,86.0,0.3179,203.5,0.7522,0.0,248.7,292.0,7.8,7.3,-0.8122,,1
9,0.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
10,0.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
11,0.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
12,0.4,0,1,1,2,contact,N2AG,1,253.8,0.943,55.5,0.2063,172.9,0.6423,0.0,254.4,283.1,7.2,12.2,-0.8417,,2
13,0.4333,0,1,1,2,contact,N2AG,1,273.1,1.0162,55.8,0.2077,162.8,0.6056,0.0,253.5,276.9,12.1,8.8,-0.8416,,2
14,0.4667,0,1,1,2,contact,N2AG,1,295.1,1.099,63.5,0.2365,152.3,0.5672,0.0,248.3,284.4,14.4,14.9,-0.8578,,2
15,0.5,0,1,1,2,contact,N2AG,1,309.8,1.156,69.0,0.2574,144.7,0.54,0.0,245.3,281.7,7.6,5.8,-0.8337,,2
16,0.5333,0,1,1,2,proximity,,,334.2,1.2436,88.9,0.3307,137.6,0.512,0.0,245.9,304.3,9.4,5.0,-0.8261,,
17,0.5667,0,1,1,2,proximity,,,351.9,1.3073,102.0,0.379,134.8,0.501,0.0,249.9,295.6,7.2,16.8,-0.8264,,
18,0.6,0,1,1,2,proximity,,,368.8,1.3648,114.5,0.4238,135.6,0.5017,0.0,254.9,304.8,6.9,9.7,-0.8162,,
19,0.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
20,0.6667,0,1,1,2,proximity,,,410.9,1.5154,166.1,0.6127,151.8,0.5599,0.0,247.1,310.6,13.6,7.4,-0.7932,,
21,0.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
22,0.7333,0,1,1,2,proximity,,,440.9,1.6197,184.7,0.6786,170.1,0.625,0.0,257.9,299.3,13.0,8.1,-0.8003,,
23,0.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
24,0.8,0,1,1,2,proximity,,,474.0,1.7359,219.6,0.8042,194.7,0.7128,0.0,256.4,302.3,12.7,8.4,-0.7914,,
25,0.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
26,0.8667,0,1,1,2,proximity,,,513.5,1.8719,259.0,0.944,219.7,0.8008,0.0,258.5,309.1,11.2,9.6,-0.7739,,
27,0.9,0,1,1,2,proximity,,,541.7,1.9661,287.4,1.0431,232.4,0.8434,0.0,259.0,313.0,13.3,8.7,-0.7793,,
28,0.9333,0,1,1,2,proximity,,,551.4,1.9954,293.5,1.0621,246.6,0.8922,0.0,263.8,304.5,10.9,12.5,-0.7667,,
29,0.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
30,1.0,0,1,1,2,proximity,,,582.5,2.0974,319.0,1.1485,268.8,0.9679,0.0,271.4,297.6,7.7,4.6,-0.7296,,
31,1.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
32,1.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
33,1.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
34,1.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
35,1.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
36,1.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
37,1.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
38,1.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
39,1.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
40,1.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
41,1.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
42,1.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
43,1.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
44,1.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
45,1.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
46,1.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
47,1.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
48,1.6,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
49,1.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
50,1.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
51,1.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
52,1.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
53,1.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
54,1.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
55,1.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
56,1.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
57,1.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
58,1.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
59,1.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
60,2.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
61,2.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
62,2.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
63,2.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
64,2.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
65,2.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
66,2.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
67,2.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
68,2.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
69,2.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
70,2.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
71,2.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
72,2.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
73,2.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
74,2.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
75,2.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
76,2.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
77,2.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
78,2.6,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
79,2.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
80,2.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
81,2.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
82,2.7333,0,1,1,2,independent,,,950.4,3.4467,775.9,2.8137,727.5,2.6384,0.0,266.1,274.0,10.8,10.5,0.324,,
83,2.7667,0,1,1,2,independent,,,958.1,3.4798,778.7,2.828,736.4,2.6745,0.0,270.3,273.0,8.2,12.0,0.3139,,
84,2.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
85,2.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
86,2.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
87,2.9,0,1,1,2,independent,,,948.3,3.4847,806.0,2.9619,762.0,2.8002,0.0,257.6,246.7,9.0,8.7,0.511,,
88,2.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
89,2.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
90,3.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
91,3.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
92,3.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
93,3.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
94,3.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
95,3.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
96,3.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
97,3.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
98,3.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
99,3.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
100,3.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
101,3.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
102,3.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
103,3.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
104,3.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
105,3.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
