bout_id,contact_type,rat_a_slot,rat_b_slot,investigator_slot,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,duration_frames,total_frames,mean_nose_dist_px,mean_mask_iou,mean_velocity_a_px,mean_velocity_b_px,quality_flags
0,N2B,0,1,0,0,8,0.0,0.2667,0.2667,9,9,133.0,0.0,8.6,9.7,
1,N2AG,0,1,1,11,14,0.3667,0.4667,0.1,4,4,267.4,0.0,8.7,10.9,
2,N2AG,0,1,1,225,227,7.5,7.5667,0.0667,2,3,307.4,0.0,9.3,14.3,
3,N2B,0,1,0,408,421,13.6,14.0333,0.4333,14,14,133.5,0.0,11.5,3.3,
4,N2AG,0,1,1,422,425,14.0667,14.1667,0.1,4,4,243.8,0.0,11.6,6.2,
5,N2N,0,1,,429,431,14.3,14.3667,0.0667,3,3,46.7,0.0,11.4,2.2,
6,N2B,0,1,0,573,577,19.1,19.2333,0.1333,5,5,168.8,0.0,8.9,4.2,
7,N2AG,0,1,1,582,583,19.4,19.4333,0.0333,2,2,280.2,0.0,12.6,8.6,
9,N2N,0,1,,770,771,25.6667,25.7,0.0333,2,2,70.1,0.0,9.1,1.2,
8,N2B,0,1,0,768,782,25.6,26.0667,0.4667,13,15,113.0,0.0,8.1,1.6,
10,N2AG,0,1,0,789,790,26.3,26.3333,0.0333,2,2,241.9,0.0,13.8,5.9,
11,N2N,0,1,,793,798,26.4333,26.6,0.1667,3,6,2.6,0.0,13.8,39.7,
12,N2B,0,1,0,1233,1242,41.1,41.4,0.3,10,10,150.1,0.0,9.5,7.2,
13,N2B,0,1,1,1417,1420,47.2333,47.3333,0.1,4,4,96.0,0.0,1.1,11.1,
14,N2N,0,1,,1421,1426,47.3667,47.5333,0.1666,6,6,45.0,0.0,1.0,5.2,
16,N2AG,0,1,0,1445,1446,48.1667,48.2,0.0333,2,2,218.6,0.0,10.2,10.2,
17,FOL,0,1,0,1453,1454,48.4333,48.4667,0.0334,2,2,333.7,0.0,15.7,4.2,
18,N2N,0,1,,1782,1786,59.4,59.5333,0.1333,5,5,43.6,0.0,3.3,1.3,
1,N2AG,0,1,1,1854,1863,61.8,62.1,0.3,10,10,301.4,0.0,9.1,2.2,
2,N2B,0,1,1,2050,2052,68.3333,68.4,0.0667,3,3,192.2,0.0,7.0,18.9,
3,N2AG,0,1,1,2056,2059,68.5333,68.6333,0.1,4,4,320.9,0.0,8.7,17.4,
4,N2B,0,1,0,2211,2213,73.7,73.7667,0.0667,3,3,163.1,0.0,8.6,7.0,
5,N2N,0,1,,2364,2371,78.8,79.0333,0.2333,8,8,33.2,0.0,4.4,6.7,
6,N2B,0,1,1,2380,2384,79.3333,79.4667,0.1334,5,5,117.6,0.0,4.2,3.7,
8,N2AG,0,1,1,2419,2420,80.6333,80.6667,0.0334,2,2,171.8,0.0,11.5,4.5,
7,N2B,0,1,1,2395,2421,79.8333,80.7,0.8667,21,27,189.6,0.0,6.6,12.2,
9,N2AG,0,1,1,2429,2446,80.9667,81.5333,0.5666,17,18,178.8,0.0,9.1,6.7,
10,N2B,0,1,1,2448,2452,81.6,81.7333,0.1333,4,5,166.6,0.0,12.7,7.6,
11,N2AG,0,1,1,2453,2464,81.7667,82.1333,0.3666,9,12,198.5,0.0,7.8,7.8,
12,N2AG,0,1,1,2469,2486,82.3,82.8667,0.5667,16,18,234.1,0.0,8.6,8.9,
13,FOL,0,1,1,2490,2493,83.0,83.1,0.1,2,4,226.9,0.0,6.6,13.6,
14,N2B,0,1,1,2495,2503,83.1667,83.4333,0.2666,8,9,143.2,0.0,3.6,9.1,
16,N2N,0,1,,2508,2511,83.6,83.7,0.1,4,4,40.4,0.0,0.5,10.7,
17,N2N,0,1,,2516,2517,83.8667,83.9,0.0333,2,2,19.2,0.0,0.9,2.8,
18,N2N,0,1,,2523,2538,84.1,84.6,0.5,16,16,20.3,0.0,3.3,2.1,
19,N2B,0,1,0,2559,2571,85.3,85.7,0.4,13,13,160.0,0.0,10.0,14.0,
20,FOL,0,1,0,2572,2575,85.7333,85.8333,0.1,4,4,227.4,0.0,9.5,17.7,
21,N2AG,0,1,0,2576,2582,85.8667,86.0667,0.2,5,7,268.5,0.0,9.4,10.2,
22,N2AG,0,1,0,2731,2736,91.0333,91.2,0.1667,4,6,141.3,0.0,8.0,3.0,
23,N2B,0,1,0,2737,2753,91.2333,91.7667,0.5334,8,17,100.3,0.0,2.7,2.2,
24,N2B,0,1,0,2758,2761,91.9333,92.0333,0.1,4,4,66.9,0.0,1.2,1.9,
25,N2N,0,1,,2762,2771,92.0667,92.3667,0.3,7,10,55.7,0.0,8.2,1.3,
26,N2B,0,1,0,2772,2775,92.4,92.5,0.1,4,4,68.4,0.0,0.9,1.6,
27,N2N,0,1,,2776,2781,92.5333,92.7,0.1667,6,6,56.9,0.0,2.0,1.5,
28,N2AG,0,1,0,2787,2799,92.9,93.3,0.4,10,13,217.1,0.0,5.3,11.6,
30,N2AG,0,1,0,3011,3014,100.3667,100.4667,0.1,4,4,260.6,0.0,9.8,3.6,
31,N2B,0,1,0,3022,3027,100.7333,100.9,0.1667,6,6,90.1,0.0,8.7,6.5,
32,N2AG,0,1,0,3031,3043,101.0333,101.4333,0.4,11,13,219.5,0.0,14.3,14.8,
33,N2N,0,1,,3262,3265,108.7333,108.8333,0.1,4,4,22.4,0.0,2.5,2.2,
37,N2AG,0,1,1,3355,3364,111.8333,112.1333,0.3,10,10,224.9,0.0,1.7,1.1,
39,N2N,0,1,,3501,3503,116.7,116.7667,0.0667,3,3,42.1,0.0,1.8,4.8,
40,N2N,0,1,,3516,3517,117.2,117.2333,0.0333,2,2,46.4,0.0,10.9,3.4,
42,N2AG,0,1,1,3549,3555,118.3,118.5,0.2,7,7,262.7,0.0,8.3,0.6,
