frame_idx,time_sec,rat_a_slot,rat_b_slot,rat_a_track_id,rat_b_track_id,zone,contact_type,investigator_slot,nose_nose_dist_px,nose_nose_dist_bl,nose_tailbase_dist_px,nose_tailbase_dist_bl,centroid_dist_px,centroid_dist_bl,mask_iou,body_length_a_px,body_length_b_px,velocity_a_px,velocity_b_px,orientation_cos,quality_flag,bout_id
0,0.0,0,1,1,2,contact,N2B,0,80.7,0.3043,183.8,0.6932,279.7,1.0548,0.0,230.0,300.4,,,-0.9938,,0
1,0.0333,0,1,1,2,contact,N2B,0,86.9,0.3277,177.7,0.6706,275.8,1.0407,0.0,230.9,296.5,3.7,10.5,-0.987,,0
2,0.0667,0,1,1,2,contact,N2B,0,94.0,0.3567,170.0,0.6447,261.7,0.9925,0.0,222.9,279.8,4.8,13.1,-0.9659,,0
3,0.1,0,1,1,2,contact,N2B,1,118.6,0.4507,164.5,0.6251,253.6,0.9636,0.0,242.6,274.9,10.3,9.1,-0.9287,,0
4,0.1333,0,1,1,2,contact,N2B,1,129.3,0.4928,144.0,0.5485,240.3,0.9157,0.0,237.0,274.9,15.4,10.0,-0.895,,0
5,0.1667,0,1,1,2,contact,N2B,1,145.6,0.5559,128.1,0.4892,229.2,0.875,0.0,243.1,271.2,10.7,7.6,-0.8543,,0
6,0.2,0,1,1,2,contact,N2B,1,162.6,0.6207,114.5,0.4373,222.5,0.8496,0.0,249.5,274.5,8.3,10.7,-0.8513,,0
7,0.2333,0,1,1,2,contact,N2B,1,180.8,0.6899,102.7,0.392,214.9,0.8203,0.0,252.9,272.9,9.0,6.3,-0.8177,,0
8,0.2667,0,1,1,2,contact,N2B,1,198.8,0.758,89.0,0.3393,209.6,0.799,0.0,256.1,273.1,6.8,10.0,-0.8128,,0
9,0.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
10,0.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
11,0.3667,0,1,1,2,contact,N2AG,1,242.1,0.9211,51.3,0.1952,178.2,0.6781,0.0,254.8,275.9,9.1,12.8,-0.8227,,1
12,0.4,0,1,1,2,contact,N2AG,1,257.1,0.9767,44.5,0.1689,170.9,0.6491,0.0,258.3,275.5,6.5,10.9,-0.8339,,1
13,0.4333,0,1,1,2,contact,N2AG,1,276.6,1.0499,37.5,0.1423,158.3,0.6008,0.0,258.5,272.2,10.8,10.5,-0.8214,,1
14,0.4667,0,1,1,2,contact,N2AG,1,293.8,1.1145,44.2,0.1677,154.1,0.5846,0.0,260.1,270.8,8.4,9.3,-0.837,,1
15,0.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
16,0.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
17,0.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
18,0.6,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
19,0.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
20,0.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
21,0.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
22,0.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
23,0.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
24,0.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
25,0.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
26,0.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
27,0.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
28,0.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
29,0.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
30,1.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
31,1.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
32,1.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
33,1.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
34,1.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
35,1.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
36,1.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
37,1.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
38,1.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
39,1.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
40,1.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
41,1.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
42,1.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
43,1.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
44,1.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
45,1.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
46,1.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
47,1.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
48,1.6,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
49,1.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
50,1.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
51,1.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
52,1.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
53,1.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
54,1.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
55,1.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
56,1.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
57,1.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
58,1.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
59,1.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
60,2.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
